TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
37136,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,4641 Lincoln Way,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,06-01-1998 00:00,7,3x3,Permit Number 39718,5981284.302,2106878.782,37.7640017,-122.5079514,"(37.76400170424376, -122.5079514283582)",1,8,3,56,35,35
66789,Permitted Site,Acacia baileyana :: Bailey's Acacia,1405 Greenwich St,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,09/23/1991 12:00:00 AM,8,3x3,Permit Number 30063,6006130.651,2119658.783,37.8005251,-122.4229235,"(37.80052509557579, -122.42292350048966)",13,9,1,28858,32,32
109570,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,400 Brazil Ave,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,02/24/2015 12:00:00 AM,3,3x3,Permit Number 774876,6003082.695,2091494.466,37.72302022,-122.4314589,"(37.72302021889937, -122.43145894158752)",9,7,6,28861,5,7
64168,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,770 Funston Ave,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/17/1987 12:00:00 AM,20,4x6,Permit Number 24949,5991979.289,2110202.215,37.77375131,-122.4712031,"(37.77375131368452, -122.47120312936205)",11,6,2,54,11,11
70696,Permitted Site,Elaeocarpus decipiens :: Japanese Blueberry Tree,40 Langton St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/30/2014 12:00:00 AM,3,3x3,Permit Number 772487,6009871.615,2111016.361,37.77700546,-122.4093679,"(37.77700545897336, -122.40936794331398)",8,2,9,28853,34,34
30966,Permitted Site,Schinus terebinthifolius :: Brazilian Pepper,1901X Pierce St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,03/13/1995 12:00:00 AM,16,3x3,Permit Number 34757,6001967.379,2115036.161,37.78759678,-122.436999,"(37.78759678080447, -122.43699895161438)",13,6,1,29490,27,30
39287,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,2030 Harrison St,8,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/21/1998 12:00:00 AM,10,3x3,Permit Number 40887,6008691.772,2106524.443,37.76460553,-122.4131317,"(37.76460552609833, -122.41313169674713)",8,4,7,28859,19,20
92450,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1418 47th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,07/30/2009 12:00:00 AM,2,3x3,Permit Number 52841,5981557.282,2105400.278,37.75995824,-122.5068976,"(37.7599582387991, -122.50689761312935)",1,8,3,56,35,35
38549,DPW Maintained,Dodonaea viscosa 'Purpurea' :: Purple Hopseed Bush,1843 Jennings St,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,09/17/1998 12:00:00 AM,7,3x3,Permit Number 40519,6015893.644,2093219.833,37.7284755,-122.387294,"(37.728475496065286, -122.38729397936709)",10,3,8,58,1,1
37677,Permitted Site,Jacaranda mimosifolia :: Jacaranda,3330 20TH ST,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,06/29/1998 12:00:00 AM,8,0x0,Permit Number 40072,6008031,2104525,37.7590784,-122.4152756,"(37.759078400659874, -122.4152755861844)",2,4,7,28859,19,20
72399,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,794-798 19th Ave,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,02/27/2013 12:00:00 AM,3,3x3,Permit Number 769948,5990094.176,2109997.039,37.77307874,-122.477709,"(37.77307873709758, -122.47770896310436)",11,6,2,55,26,29
66108,DPW Maintained,Tree(s) ::,2362 42nd Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,04/18/2014 12:00:00 AM,1,3x3,Permit Number 772928,5983332.18,2099071.547,37.74268567,-122.5002913,"(37.742685666006444, -122.50029129955384)",1,8,3,29491,35,35
95997,DPW Maintained,Callistemon viminalis :: Weeping Bottlebrush,56 Neptune St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,08/16/2011 12:00:00 AM,4,3x3,Permit Number 767648,6013070.551,2094035.717,37.730559,-122.3971108,"(37.73055899728744, -122.39711080912491)",10,3,8,58,1,1
